TimeStamp,Partida V115,Estado Bombeo Semi V115,SP Semi V115,Estado Bombeo Receta V115,SP Receta V115,Consumo V115,Partida D122,Estado Bombeo Semi D122,SP Semi D122,Estado Bombeo Receta D122,SP Receta D122,Consumo D122,Partida V131,Estado Bombeo Semi V131,SP Semi V131,Estado Bombeo Receta V131,SP Receta V131,Consumo V131,Partida V141,Estado Bombeo Semi V141,SP Semi V141,Estado Bombeo Receta V141,SP Receta V141,Consumo V141,Partida V221,Estado Bombeo Semi V221,SP Semi V221,Estado Bombeo Receta V221,SP Receta V221,Consumo V221,Partida V241,Estado Bombeo Semi V241,SP Semi V241,Estado Bombeo Receta V241,SP Receta V241,Consumo V241
2024-10-22 07:00:00,12345678,-1,12,-1,401.43613,631.58881,12345678,-1,50,-1,10.897466,255.92761,12345678,-1,30,-1,0,824.21143,,-1,65,-1,405.46042,999.51563,,-1,0,-1,337.84006,898.09003,,-1,100,-1,985.54431,612.3678
2024-10-22 08:00:00,12345678,-1,12,-1,420.76514,631.58881,12345678,-1,50,-1,11.438682,254.82571,12345678,-1,30,-1,0,824.21143,,-1,65,-1,426.62164,999.51563,,-1,0,-1,357.33807,898.09003,,-1,100,-1,1044.3755,612.3678
2024-10-22 09:00:00,12345678,-1,12,-1,440.09418,631.58881,12345678,-1,50,-1,11.979897,253.7238,12345678,-1,30,-1,0,824.21143,,-1,65,-1,447.7829,999.51563,,-1,0,-1,376.83612,898.09003,,-1,100,-1,1103.2067,612.3678
2024-10-22 10:00:00,12345678,-1,12,-1,459.42319,631.58881,12345678,-1,50,-1,12.521113,252.6219,12345678,-1,30,-1,0,824.21143,,-1,65,-1,468.94412,999.51563,,-1,0,-1,396.33414,898.09003,,-1,100,-1,1162.0377,612.3678
2024-10-22 11:00:00,12345678,-1,12,-1,478.7522,631.58881,12345678,-1,50,-1,13.062329,251.51999,12345678,-1,30,-1,0,824.21143,,-1,65,-1,490.10538,999.51563,,-1,0,-1,415.83215,898.09003,,-1,100,-1,1220.8689,612.3678
2024-10-22 12:00:00,12345678,-1,12,-1,498.08121,631.58881,12345678,-1,50,-1,13.603545,250.41809,12345678,-1,30,-1,0,824.21143,,-1,65,-1,511.2666,999.51563,,-1,0,-1,435.3302,898.09003,,-1,100,-1,1279.7001,612.3678
2024-10-22 13:00:00,12345678,-1,12,-1,517.41022,631.58881,12345678,-1,50,-1,14.144761,249.31619,12345678,-1,30,-1,0,824.21143,,-1,65,-1,532.42786,999.51563,,-1,0,-1,454.82822,898.09003,,-1,100,-1,1338.5313,612.3678
2024-10-22 14:00:00,12345678,-1,12,-1,536.73926,631.58881,12345678,-1,50,-1,14.685977,248.21428,12345678,-1,30,-1,0,824.21143,,-1,65,-1,553.58911,999.51563,,-1,0,-1,474.32626,898.09003,,-1,100,-1,1397.3623,612.3678
2024-10-22 15:00:00,12345678,Inactive,12,Inactive,556.06824,631.58881,12345678,-1,50,Inactive,15.227193,247.11238,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,574.75031,999.51563,,Inactive,0,Inactive,493.82428,898.09003,,-1,100,Inactive,1456.1935,612.3678
2024-10-22 16:00:00,12345678,Inactive,12,Inactive,575.39728,631.58881,12345678,-1,50,Inactive,15.768409,246.01048,12345678,Inactive,30,Inactive,0,824.21143,,Inactive,65,Inactive,595.91156,999.51563,,Inactive,0,Inactive,513.32233,898.09003,,-1,100,Inactive,1515.0247,612.3678
